circRNA Name,Disease Name,Species,miRNA validated,miRNA predicted,miRNA target,RBP validated
circSMARCA5,Non-small cell lung cancer,Human,miR-19b-3p,,HOXA9,
hsa_circ_0008975,Non-small cell lung cancer,Human,miR-150-5p,,GLUT-1,
hsa_circ_0014130,Colon cancer,Human,miR-1273a,,,
hsa_circ_0001821,Hepatocellular carcinoma,Human,miR-203,,HOXD3,
hsa_circ_0053277,Colorectal cancer,Human,miR-2467-3p,,MMP14,
hsa_circ_0137606,Bladder cancer,Human,miR‑1231,,,
circ_0005576,Cervical cancer,Human,miR-153,,KIF20A,
CDR1as,Gastric cancer,Human,miR-7-5p,,REGγ,
circUBAP2,Ovarian cancer,Human,microRNA-144,,,
hsa_circ_0001451,Triple negative breast cancer,Human,miR-197-3p,,FBXW7,
hsa_circ_0027089,Hepatocellular carcinoma,Human,miR-144,,,
hsa_circ_0042666,Laryngeal squamous cell carcinoma,Human,miR-223,,TGFBR3,
circ_0015756,Hepatocellular carcinoma,Human,miR-7,,FAK,
hsa_circ_0006988,Pancreatic cancer,Human,miR-137-3p,,PTN,
hsa_circ_0079993,Colorectal cancer,Human,miR-203a-3p.1,,CREB1,
hsa_circ_0003949,Glioma,Human,"miR-145-5p, miR-330-5p",,,
hsa_circ_0006404,Glioblastoma,Human,"miR-138-5p, miR-432-5p",,NFAT5,
circ-0000284,Cholangiocarcinoma,Human,miR-637,,,
hsa_circ_0020007,Hepatocellular carcinoma,Human,,,,EZH2
hsa_circ_0039569,Renal cell carcinoma,Human,miR-34a-5p,,CCL22,
hsa_circ_0023404,Non-small cell lung cancer,Human,miR-217,,ZEB1,
hsa_circ_0074027,Glioblastoma,Human,miR-379-5p,,MAP3K2,
hsa_circ_0035483,Clear cell renal cell carcinoma,Human,hsa-miR-335,,CCNB1,
circDENND4C,Breast cancer,Human,"miR-200b, miR-200c",,,
hsa_circ_0011460,Preeclampsia,Human,,,,PGT
circRNA_100876,Breast cancer,Human,microRNA-361-3p,,,
hsa_circ_0001821,Oral squamous cell carcinoma,Human,miR‑125b,,STAT3,
circ-ZKSCAN1,Bladder cancer,Human,miR-1178-3p,,p21,
hsa_circ_0001946,Ovarian cancer,Human,miR-1270,,SCAI,
hsa_circ_0031250,Non-small cell lung cancer,Human,"miR-377, miR-382, miR-498",,EZH2,
hsa_circ_0001022,Renal cell carcinoma,Human,miR-411,,CDH2,
circMTO1,Glioblastoma,Human,miR-92,,WWOX,
hsa-circ-0072309,Renal cell carcinoma,Human,miR-100,,,
circ_0023642,Bladder cancer,Human,miR-490-5p,,EGFR,
hsa_circ_0014130,Ovarian cancer,Human,miR-661,,IGFBP5,
hsa_circ_0007534,Cervical cancer,Human,miR-498,,BMI-1,
hsa_circ_0006835,Gastric cancer,Human,miR-1306-3p,,,
circRNA CBL.11,Colorectal cancer,Human,miR-6778-5p,,YWHAE,
hsa_circ_0088227,Preeclampsia,Human,miR-384,,STAT3,
circMYLK,Laryngeal squamous cell carcinoma,Human,miR-195,,cyclin D1,
hsa_circ_0082374,Glioma,Human,let-7,,,
circ_100395,Liver cancer,Human,miR-1228,,,
circGFRA1,Ovarian cancer,Human,miR-449a,,GFRA1,
hsa_circ_0019456,Hepatocellular carcinoma,Human,miR-665,,ABCC2,
circMYLK,Hepatocellular carcinoma,Human,miR-362-3p,,Rab23,
hsa_circRNA_102958,Colorectal cancer,Human,miR-585,,CDC25B,
hsa_circ_0008549,Gastric cancer,Human,miR-136-5p,,,
circPRKCI,Glioma,Human,miR-545,,,
circZFR,Non-small cell lung cancer,Human,miR-101-3p,,CUL4B,
circ-CDC45,Glioma,Human,"miR-516b, miR-527",,,
hsa_circ_0001839,Breast cancer,Human,miR-548p,,PBLD,
Circ_0136474,Osteoarthritis,Human,miR-127-5p,,,
hsa_circ_0098619,Glioma,Human,miR-421,,SP1,
hsa_circ_0076631,Diabetic cardiomyopathy,Human,miR-214-3p,,,
circ-ITCH,Osteosarcoma,Human,miR-22,,,
circZNF609,Prostate cancer,Human,miR-186-5p,,,
hsa_circ_0092012,Laryngeal squamous cell carcinoma,Human,miR-486-3p,,FLNA,
circ-ABCB10,Epithelial ovarian cancer,Human,"miR-1271, miR-1252, miR-203",,,
circRNA_101505,Hepatocellular carcinoma,Human,miR-103,,NOR1,
circ-ITGA7,Colorectal cancer,Human,miR-3187-3p,,ASXL1,
circHECTD1,Gastric cancer,Human,miR-1256,,USP5,
circVAPA,Hepatocellular carcinoma,Human,miR-377-3p,,PSAP,
hsa_circ_0133159,Glioma,Human,miR-1261,,PAK1,
hsa_circ_0006772,Preeclampsia,Human,miR-762,,,
hsa_circ_0007059,Lung cancer,Human,miR-378,,,
hsa_circ_0000745,Gastric cancer,Human,miR-526b,,KDM4A,
hsa_circ_0007142,Colorectal cancer,Human,miR-103a-2-5p,,,
hsa_circ_0008450,Nasopharyngeal carcinoma,Human,miR-577,,CXCL9,
hsa_circ_0038632,Triple negative breast cancer,Human,miR-296-5p,,,
circ-UBE2D2,Breast cancer,Human,"miR-1236, miR-1287",,,
circ_0021093,Hepatocellular carcinoma,Human,miR-766-3p,,MTA3,
hsa_circ_0068515,Lung squamous cell carcinoma,Human,miR-873-3p,,FOXM1,
hsa_circ_0058124,Papillary thyroid carcinoma,Human,miR-218-5p,,NUMB,
hsa_circ_0006393,Osteogenesis,Human,miR‑145‑5p,,FOXO1,
hsa_circ_006100,Gastric cancer,Human,miR-195,,GPRC5A,
hsa_circRNA_103809,Hepatocellular carcinoma,Human,miR-377-3p,,FGFR1,
circ_0001730,Glioma,Human,miR-326,,,
circBMPR2,Breast cancer,Human,miR-553,,USP4,
hsa_circ_0002346,Lung adenocarcinoma,Human,"miR-93, miR-182",,,
hsa_circ_0001955,Colorectal cancer,Human,miR-597-5p,,"CDK6, RPA3",
hsa_circRNA_100533,Oral squamous cell carcinoma,Human,hsa-miR-933,,GNAS,
circRNA-104718,Hepatocellular carcinoma,Human,microRNA-218-5p,,TXNDC5,
hsa_circ_0089548,Gastric cancer,Human,miR-637,,Apelin,
hsa_circ_0030586,Prostate cancer,Human,miR-1182,,FOXP4,
hsa_circ_0039411,Papillary thyroid carcinoma,Human,"miR-1179, miR-1205",,"ABCA9, MTA1",
circ-EIF4G3,Gastric cancer,Human,miR-335,,,
hsa_circ_0001543,Bladder cancer,Human,miR-27a-3p,,cyclin D1,
circMTO1,Cervical cancer,Human,miR-6893,,,
hsa_circ_0007294,Colorectal cancer,Human,miR-149,,FOXM1,
hsa_circ_0011780,Non-small cell lung cancer,Human,miR-544a,,FBXW7,
hsa_circ_0137008,Colorectal cancer,Human,miR-338-5p,,,
hsa_circ_0061140,Endometrial carcinoma,Human,miR-149-5p,,STAT3,
hsa_circ_0001001,Hepatocellular carcinoma,Human,miR-605,,FOXO3,
hsa_circ_100242,Bladder cancer,Human,,miR-145,,
circFOXK2,Pancreatic ductal adenocarcinoma,Human,miR-942,,"YBX1, hnRNPK",
hsa_circ_0008285,Breast cancer,Human,miR-1275,,"ATG7, ULK1",
hsa_circ_0001649,Gastric carcinoma,Human,miR-20a,,,
hsa_circ_0008792,Osteosarcoma,Human,hsa-miR-711,,ZFP1,
circEHMT1,Breast cancer,Human,miR-1233-3p,,,
hsa_circRNA_102336,Bladder cancer,Human,miR-515-5p,,,
circMTO1,Renal cell carcinoma,Human,miR-9,,LMX1A,
hsa_circ_0001568,Intervertebral disc degeneration,Human,miR-486-3p,,,
circRNA_0000638,Inflammation,Human,miR-498–5p,,NKRF,
circ-TTBK2,Glioma,Human,miR-761,,,
circ-0103552,Thyroid carcinoma,Human,miR-127,,,
circ_0001971,Oral squamous cell carcinoma,Human,"miR-194, miR-204",,,
circDENND4C,Colorectal cancer,Human,miR-760,,GLUT1,
hsa_circ_0008717,Hepatocellular carcinoma,Human,"miR-340-5p, miR-452-5p",,,
hsa_circ_0009362,Triple negative breast cancer,Human,miR-141-5p,,IGF1R,
circMTO1,Gastric carcinoma,Human,miR-3200-5p,,PEBP1,
CircNFIX,Glioma,Human,miR-132,,,
circ_0000218,Colorectal cancer,Human,miR-139-3p,,RAB1A,
circ-0033550,Cervical cancer,Human,miR-942-5p,,,
hsa_circ_0001568,Pancreatic ductal adenocarcinoma,Human,miR-377,,HOXC6,
hsa_circ_0008225,Glioma,Human,miR-890,,ZMYND11,
Circ0004390,Ovarian cancer,Human,miR-198,,MET,
Circ_0008035,Gastric cancer,Human,miR-599,,,
hsa_circ_0014130,Gastric cancer,Human,miR-376c-3p,,ZNF146,
circPITX1,Glioma,Human,miR-329-3p,,NEK2,
circ_0072083,Non-small cell lung cancer,Human,miR-545-3p,,CBLL1,
hsa_circ_0008558,Colorectal cancer,Human,,,,DDX1
hsa_circ_0004812,Chronic hepatitis B,Human,miR-1287-5p,,FSTL1,
hsa_circ_0068033,Breast cancer,Human,miR-659,,,
hsa_circ_103973,Cervical cancer,Human,miR-335,,PPP6C,
circ-FOXM1,Melanoma,Human,miR-143-3p,,FLOT2,
hsa_circ_0038467,Pneumonia,Human,miR-338-3p,,,
hsa_circ_0058063,Bladder cancer,Human,miR-486-3p,,FOXP4,
hsa_circRNA_102488,Stroke,Human,,,,"AGO2, FUS"
circAKT3,Lung cancer,Human,miR-516b-5p,,STAT3,
hsa_circ_0014130,Gastric cancer,Human,miR-671-5p,,KRT80,
circ-ATAD1,Gastric cancer,Human,miR-140-3p,,YY1,
hsa_circ_0019340,Epithelial ovarian cancer,Human,miR-542-3p,,CDC5L,
hsa_circ_0000384,Gastric cancer,Human,,,,"FOXO1, FOXO3a"
hsa_circ_0001105,Osteosarcoma,Human,miR-766,,YTHDF2,
hsa_circ_0024093,Acute kidney injury,Human,miR-21-5p,,,
hsa_circ_0007843,Colon cancer,Human,miR-518c-5p,,MMP2,
hsa_circ_0000326,Lung adenocarcinoma,Human,miR-338-3p,,RAB14,
circPVT1,Osteosarcoma,Human,miR-526b,,FOXC2,
hsa_circ_0001313,Gastric cancer,Human,miR-618,,BCL2,
circVAPA,Colorectal cancer,Human,miR-125a,,CREB5,
circRNA_0084043,Diabetic retinopathy,Human,miR-140-3p,,,
hsa_circ_0041795,Diabetic retinopathy,Human,miR-646,,VEGFC,
hsa_circ_0005320,Triple negative breast cancer,Human,miR-637,,LIF,
circ_0000527,Retinoblastoma,Human,miR-646,,BCL-2,
hsa_circ_0090956,Glioma,Human,miR-139-3p,,,
hsa_circ_0007534,Colorectal cancer,Human,miR-613,,SLC25A22,
hsa_circ_0029589,Atherosclerosis,Human,miR-214,,,
circSCARB1,Renal cell carcinoma,Human,miR-510-5p,,SDC3,
circ_0060745,Colorectal cancer,Human,miR-4736,,,
circ-ZNF609,Nasopharyngeal carcinoma,Human,miR-188,,ELF2,
circ-ABCB10,Breast cancer,Human,let-7a-5p,,DUSP7,
hsa_circ_0002052,Osteosarcoma,Human,miR-382,,STX6,
hsa_circ_0031288,Cervical cancer,Human,miR-139-3p,,Bcl-6,
hsa_circ_100338,Hepatocellular carcinoma,Human,miR-141-3p,,ZEB1,
circPRRC2A,Renal cell carcinoma,Human,"miR-514a-5p, miR-6776-5p",,TRPM3,
hsa_circ_0004846,Obesity,Human,miR-138-5p,,,EZH2
hsa_circ_0072309,Non-small cell lung cancer,Human,miR-580-3,,,
circBIRC6,Non-small cell lung cancer,Human,miR-145,,,
hsa_circ_0001610,Endometrial carcinoma,Human,miR-1227,,,
hsa_circ_0072387,Oral squamous cell carcinoma,Human,miR-503-5p,,,
hsa_circ_0028883,Tuberculosis,Human,hsa-miR-409-5p,,,
circRNA_100876,Gastric cancer,Human,miR-136,,MIEN1,
hsa_circ_0072995,Bladder cancer,Human,miR-548,,KIF2C,
hsa_circ_0087862,Non-small cell lung cancer,Human,miR-1253,,RAB3D,
hsa_circ_0000615,Lung adenocarcinoma,Human,miR-1224-3p,,ETV1,
hsa_circ_0019421,Glioblastoma,Human,miR-101-3p,,ROS1,
hsa_circ_0000260,Gastric cancer,Human,miR-4720-3p,,TJP1,
hsa_circ_0000284,Acute pancreatitis,Human,miR-193a-5p,,GSDMD,
hsa_circ_0002570,Diabetic retinopathy,Human,miR-1243,,,
hsa_circ_0091074,Triple negative breast cancer,Human,miR‑1297,,TAZ,
circ_081069,Tongue squamous cell carcinoma,Human,miR-665,,,
circRNA_001275,Esophageal cancer,Human,miR‑370‑3p,,,
circ-CDYL,Multiple myeloma,Human,miR-1180,, YAP,
hsa_circRNA_100084,Hepatocellular carcinoma,Human,miR‑23a‑5p,,IGF2,
circ_0002770,Melanoma,Human,miR-331-3p,,"DUSP5,TGFBR1",
hsa_circ_0033074,Nasopharyngeal carcinoma,Human,miR-944,,MDM2,
hsa_circ_0026070,Encephalitis,Human,miR-125b,,,
circRNA_0048211,Postmenopausal osteoporosis,Human,miRNA-93-5p,,BMP2,
circPSMC3,Osteoarthritis,Human,miRNA-296-5p,,,
circCNOT6L,Esophageal squamous cell carcinoma,Human,miR-384,,FN1,
circ_EPB41L2,Lung adenocarcinoma,Human,miR-211-5p,,CDH4,
circCRIM1,Lung adenocarcinoma,Human,miR-125b-5p,,BTG2,
hsa_circ_0000247,Breast cancer,Human,let-7,,"MCY, HMGA2, CCND1",
hsa_circ_0000448,Temporomandibular joint osteoarthritis,Human,miR-330-3p,,TNF-α,
circMYLK,Renal cell carcinoma,Human,miR-513a-5p,,VEGFC,
hsa_circ_0000372,Colorectal cancer,Human,miR-485-5p,,FOXK1,
Cznf532,Diabetic retinopathy,Human,miR-29a-3p,,"NG2, LOXL2, CDK2",
circ_0067934,Bladder cancer,Human,miR-1304,,Myc,
CDR1as,Abdominal aortic aneurysm,Human,miR-7,,CKAP4,
hsa_circ_0089378,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0083357,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0082824,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0068942,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0057576,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0054537,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0051172,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0032970,Coronary artery disease,Human,miR-130a-3p,,,
hsa_circ_0006323,Coronary artery disease,Human,miR-130a-3p,,,
circMYLK,Bladder carcinoma,Human,,"miRNA-29a-3p, DNMT3B, VEGFA, ITGB1",,
circCTDP1,Bladder carcinoma,Human,,"miRNA-29a-3p, DNMT3B, VEGFA, ITGB1",,
circHIPK2,Neuroinflammatory disorders,Human,miR-124,,SIGMAR1,
hsa_circ_0010729,Angiogenesis,Human,miR-186,,HIF-1a,
hsa_circRNA_100284,Carcinogenesis,Human,miR-217,,EZH2,
hsa_circ_0003204,Atherosclerosis,Human,miR-98-5p,,VCAM1,AGO2
hsa_circ_0006872,Chronic obstructive pulmonary disease,Human,miR-145-5p,,,
circ_0004507,Laryngeal cancer,Human,miR-873,,,
circHIPK3,Hepatocellular carcinoma,Human,miR-338-3p,,ZEB2,
circ_SATB2,Non-small cell lung cancer,Human,miR-33a-5p,,E2F7,
hsa_circ_0089552,Non-small cell lung cancer,Human,,,METTL14,Ago2
hsa_circ_0105015,Essential hypertension,Human,hsa-miR-637,,,
hsa_circ_0004662,Hepatocellular carcinoma,Human,hsa-miR-502-5p,,DNMT3a,
circPARD3,Laryngeal squamous cell carcinoma,Human,miR-145-5p,,,
hsa_circ_0132246,Bladder cancer,Human,miR-433-3p,,CCAR1,
hsa_circ_0001946,Pulmonary hypertension,Human,miR-7-5p,,"CAMK2D, CNN3",
circNR3C1,Bladder cancer,Human,,,,BRD4
hsa_circ_0001955,Hepatocellular carcinoma,Human,miR-145-5p,,NRAS,
hsa_circ_0008309,Gastric cancer,Human,miR-515-5p,,STAT3,
hsa_circ_0066659,Hepatocellular carcinoma,Human,miR-65,,IGF2,AGO2
circ_DLGAP4,Diabetic kidney disease,Human,miR-143,,ERBB3,
has_circ_0001492,Colorectal cancer,Human,"miR-125a-5p, miR-138-5p",,4EBP-1,
circPVT1,Breast cancer,Human,miR-29a-3p,,AGR2,
hsa_circ_0027345,Hepatocellular carcinoma,Human,,,,"EZH2, STAT3"
circRNA-SORE,Hepatocellular carcinoma,Human,"miR-103a-2-5p, miR-660-3p",,,
hsa_circ_0000673,Cholangiocarcinoma,Human,miR-548b-3p,,,
hsa_circ_0060144,Cholangiocarcinoma,Human,"miR-616-3p, miR-629-3p, miR-643",,,
hsa_circ_0008274,Cholangiocarcinoma,Human,miR-526b-5p,,,
hsa_circ_0139402,Cholangiocarcinoma,Human,miR-885-3p,,,
hsa_circ_0001714,Cholangiocarcinoma,Human,miR-766-5p,,,
hsa_circRNA_000121,Papillary thyroid microcarcinoma,Human,,"hsa-miR-6775-3p, hsa-miR-146b-3p, hsa-miR-3614-3p, hsa-miR-3139, hsa-miR-3064-5p",,
hsa_circRNA_000466,Papillary thyroid microcarcinoma,Human,,"hsa-miR-888-5p, hsa-miR-372-5p, hsa-miR-607, hsa-miR-500a-5p, hsa-miR-485-5p",,
hsa_circRNA_001059,Papillary thyroid microcarcinoma,Human,,"hsa-miR-423-5p, hsa-miR-150-3p, hsa-miR-612, hsa-miR-567, hsa-miR-558",,
hsa_circRNA_051239,Papillary thyroid microcarcinoma,Human,,"hsa-miR-6867-5p, hsa-miR-574-5p, hsa-miR-6799-5p, hsa-miR-3162-5p, hsa-miR-4739",,
hsa_circRNA_102116,Papillary thyroid microcarcinoma,Human,,"hsa-miR-520d-3p, hsa-miR-500a-5p, hsa-miR-518c-3p, hsa-miR-103a-2-5p, hsa-miR-518f-3p",,
hsa_circRNA_001729,Papillary thyroid microcarcinoma,Human,,"hsa-miR-367-3p, hsa-miR-363-3p, hsa-miR-323a-3p",,
hsa_circRNA_004183,Papillary thyroid microcarcinoma,Human,,"hsa-miR-7162-5p, hsa-miR-6875-3p, hsa-miR-516b-3p, hsa-miR-516a-3p, hsa-miR-4687-3p",,
hsa_circRNA_102051,Papillary thyroid microcarcinoma,Human,,"hsa-miR-302c-3p, hsa-miR-520d-3p, hsa-miR-302b-3p, hsa-miR-302d-3p, hsa-miR-197-5p",,
hsa_circRNA_404686,Papillary thyroid microcarcinoma,Human,,"hsa-miR-1249-5p, hsa-miR-3916, hsa-miR-6760-5p, hsa-miR-214-3p, hsa-miR-4739",,
hsa_circRNA_405571,Papillary thyroid microcarcinoma,Human,,"hsa-miR-302c-3p, hsa-miR-520d-3p, hsa-miR-4291, hsa-miR-302b-3p, hsa-miR-302d-3p",,
circGFRA1,Hepatocellular carcinoma,Human,miR-149,,,
circ_0008305,Hepatocellular carcinoma,Human,miR-186,,TMED2,
circTBL1XR1,Colorectal cancer,Human,miR-424,,Smad7,
CircMAP3K5,Neointimal hyperplasia,Human,miR-22-3p,,TET2,
circANKRD36,Osteoarthritis,Human,miR-599,,Casz1,
hsa_circ_0001421,Non-small cell lung cancer,Human,miR-376a,,SEC31A,
hsa_circ_0004458,Papillary thyroid carcinoma,Human,miR-637,,HEMGN,
circRNA4675,Preeclampsia,Human,,"hsa-miR-1182, hsa-miR-4298, hsa-miR-4299, hsa-miR-518a-5p, hsa-miR-636",,
circRNA8840,Preeclampsia,Human,,"hsa-miR-198, hsa-miR-3154, hsa-miR-518c-5p",,
circRNA10271,Preeclampsia,Human,,"hsa-miR-4255, hsa-miR-4261",,
circRNA2713,Preeclampsia,Human,,"hsa-miR-193a-3p, hsa-miR-30c-1-3p, hsa-miR-3138, hsa-miR-3679-5p, hsa-miR-3934-5p, hsa-miR-4317",,
hsa_circ_0004370,Gastric carcinoma,Human,miR-665,,YWHAZ,
circ_0007059,Postmenopausal osteoporosis,Human,miR-378,,BMP-2,
hsa_circ_0000657,Gastric cancer,Human,miR-99a-5p,,MTMR3,
hsa_circ_0043469,Adrenocortical carcinoma,Human,miR-514a-5p,,C22orf46,
hsa_circ_0030605,Bronchopulmonary dysplasia,Human,miR-663a,,PLA2G6,
hsa_circ_0040060,Intervertebral disk degeneration,Human,miR-182-5p,,FOXO3,
hsa_circ_0088233,Prostate cancer,Human,hsa-miR-185-3p,,"WNT2B, E2F1",
circRPPH1,Breast cancer,Human,miR-556-5p,,YAP1,
hsa_circ_0005875,Clear cell renal cell carcinoma,Human,miR-145-5p,,ZEB2,
hsa_circ_0008450,Liver cancer,Human,miR-431,,AKAP1,
hsa_circ_0069767,Multiple myeloma,Human,miR-636,,K-RAS,
hsa_circ_0030998,Lung cancer,Human,miR-558,,,
circ_0032833,Colorectal cancer,Human,miR-125-5p,,MSI1,
hsa_circ_0006916,Hepatocellular carcinoma,Human,miR-599,,SRSF2,
circ_0057553,Prostate cancer,Human,miR-515-5p,,YES1,
hsa_circ_0003288,Non-small cell lung cancer,Human,miR-4491,,,
circHIPK3,Cervical cancer,Human,miR-485-3p,,FGF2,
hsa_circ_0071820,Bladder cancer,Human,miR-330-5p,,ENO1,
hsa_circ_400068,Renal cell carcinoma,Human,miR‑210‑5p,,SOCS1,
circSCAF11,Glioma,Human,miR-145-5p,,,
hsa_circ_0109046,Endometrial cancer,Human,miR-136,,HMGA2,
circPDK1,Renal cell carcinoma,Human,miR-377-3P,,NOTCH1,
hsa_circ_0004872,Gastric cancer,Human,miR-224,,Smad4,ADAR1
hsa_circ_0067835,Endometrial carcinoma,Human,miR-324-5p,,HMGA1 ,
hsa_circ_0075370,Congenital heart disease,Human,miR-34a,,,YAP1
hsa_circ_0031250,Non-small cell lung cancer,Human,miR-873-5p,,FOXM1,
circGLCE,Intervertebral disc degeneration,Human,miR-587,,STAP1 ,
hsa_circ_0005224,Nasopharyngeal carcinoma,Human,miR-107,,TGFBR2,
circ-CBFB,Liver injury,Human,miR-185-5p,,,P66Shc
hsa_circ_0067934,Lung cancer,Human,miR-1324,,MECP2 ,
hsa_circ_0034803,Gastric cancer,Human,miR-142-5p,,ULK1 ,
hsa_circ_0043278,Glioblastoma,Human,miR-638,,HOXA9,
hsa_circ_0000234,Gastric cancer,Human,miR-142-3p,,ROCK2,
circ_0032462,Osteosarcoma,Human,,,,KIF3B
circ-HECTD1,Ischemic stroke,Human,miR-133b,,TRAF3 ,
circ-FBXW7,Colorectal cancer,Human,miR-18b-5p,,,
hsa_circ_0044516,Gastric cancer,Human,miR-149,,Wnt1,β-catenin Axis
hsa_circ_0007364,Cervical cancer,Human,miR-101-5p,,MAT2A,
hsa_circ_0068515,Breast cancer,Human,miR-873-3p,,FOXM1,
hsa_circ_0092516,Osteoarthritis,Human,miR-337-3p,,PTEN,
hsa_circ_0060450,Type 1 diabetes mellitus,Human,miR-199a-5p,,SHP2,
circ_0007841,Multiple myeloma,Human,miR-129-5p,,JAG1 ,
hsa_circ_0000043,Endometrial carcinoma,Human,miR-1271-5p,,CTNND1,
hsa_circ_0106714,Colorectal cancer,Human,miR-942-5p,,DLG2 ,
hsa_circ_0001162,Glioblastoma,Human,miR-124,,"CDK4, AURKA",
hsa_circ_0000376,Gastric cancer,Human,miR-145-5p,,,
hsa_circ_0005273,Acute myeloid leukemia,Human,miR-330-5p,,FOXM1,
circPDE4D ,Osteoarthritis,Human,miR-103a-3p,,FGF18,"MMP3, MMP13, ADAMTS4, and ADAMTS5"
hsa_circ_0072391,Colon cancer,Human,miR‑34a‑5p,,SGPP1,
hsa_circ_0032821,Gastric cancer,Human,miR-515-5p,,SOX9 ,
hsa_circ_0039053,Hepatocellular carcinoma,Human,miR-637,,USP21 ,
hsa_circ_0000260,Gastric adenocarcinoma,Human,miR-129-5p,,MMP11 ,
hsa_circ_0000567,Nasopharyngeal carcinoma,Human,"miR-615-5p, miR-1538",,MAPRE1,EMT
circRNA7,Hepatocellular carcinoma,Human,miR-7-5p,,,Notch4 
hsa_circ_0001522,Lung adenocarcinoma,Human,hsa-miR-143-3p,,HOXA10 ,
hsa_circ_0008274,Hepatocellular carcinoma,Human,miR-526b-5p,,RAB1A ,
circCRIM1 ,Osteosarcoma,Human,miR-432-5p,,HDAC4 ,
circRNA_104433,Gastric cancer,Human,miR-497-5p,,CDC25A ,
hsa_circ_0003645,Breast cancer,Human,miR-139-3p,,HMGB1 ,
hsa_circ_0106800,Breast cancer,Human,miR-330-3p,,Myc ,
circ-ELF2,Glioma,Human,miR-510-5p,,MUC15 ,
hsa_circ_0004771,Gastric cancer,Human,miR-1200,"miR-4298, miR-339-5p, miR-4687-3p, miR-548, miR-148p-5p, miR-3921, miR-7974, miR-1267, miR-1200, miR-4277",HOXB2 ,
hsa_circ_0001192,Renal cell carcinoma,Human,miR-149 ,,NUCB2,
hsa_circ_0093996,Retinoblastoma,Human,"miR-492, miR-494-3p",,,
hsa_circ_0000039,Gastric cancer,Human,miR-1292-5p,,DEK ,
hsa_circ_0000282,Osteosarcoma,Human,miR-192,,XIAP,
circ_ANKMY2,Epilepsy,Human,miR-106b-5p,,,FOXP1
circ_SEPT9,Oral squamous cell carcinoma,Human,miR-1225,,TGFBR2 ,
circ-ABCB10,Thyroid cancer,Human,,,KLF6,
hsa-circ_0010283,Atherosclerosis,Human,miR-133a-3p,,HVSMCs,PAPPA
hsa_circ_0008365,Osteoarthritis,Human,miR-495,,TGFBR2 ,
hsa_circ_0009143,Cervical cancer,Human,miR-1286,,,
cricRNA-SIPA1L1 ,Osteogenesis,Human,miR-204-5p,,ALPL,
hsa_circ_0035266,Inflammation,Human,miR-181d-5p,,DDX3X ,
circ-XPO1,Osteosarcoma,Human,"miR-23a-3p, miR-23b-3p, miR-23c, miR-130a-5p",,XPO1 ,
hsa_circ_0002402,Osteosarcoma,Human,,,,"JunB, Mdm2, HIF1α, c-Jun, ELK-1, and Cdc25a"
circTHBS1,Non-small cell lung cancer,Human,miR-129-5p,,SOX4 ,
hsa_circ_0072391,Endometriosis,Human,,,,"CYP51A1, FKBP5 "
hsa_circ_0007299 ,Endometriosis,Human,,,,"CYP51A1, FKBP5 "
hsa_circ_0057799 ,Endometriosis,Human,,,,"CYP51A1, FKBP5 "
hsa_circ_0001599,Endometriosis,Human,,,,"CYP51A1, FKBP5 "
circ102049,Colorectal cancer,Human,"miR-761, miR-192-3p",,FRAS1,
hsa_circ_0023826,Glaucoma,Human,,,,TENM4 
circAkap7,Ischemic stroke,Human,miR-155-5p,,"ATG12, NRF2",
circCRAMP1L ,Preeclampsia,Human,,,,"MSP, RON"
circ_0085616,Cervical cancer,Human,miR-503-5p,,ATXN7L3,
circ_0000215 ,Glioma,Human,miR-495-3p,,CXCR2,
circMTO1,Gastric cancer,Human,miR-199a-3p,,PAWR,
hsa_circ_0081519,Glioma,Human,miR-637,,SOX10,
circsSMARCA5,Non-small cell lung cancer,Human,miR-670-5p,,RBM24,
hsa_circ_0102231,Non-small cell lung cancer,Human,miR-145,,RBBP4,
circRNF13,Acute myeloid leukemia,Human,miRNA-1224-5p,,,
circCPA4,Glioma,Human,miR-760,,MEF2D,
circ_0072088,Esophageal squamous cell carcinoma,Human,miRNA-377,,,
circNFIX,Non-small cell lung cancer,Human,miR-212-3p,,ADAM10,
circCSNK1G1,Colorectal cancer,Human,MiR-455-3p,,MYO6,
circ_0058124,Papillary thyroid carcinoma,Human,miR-370-3p,,LMO4,
hsa_circ_0084927,Cervical cancer,Human,miR-634,,TPD52,
CircCFL1,Diffuse large B-cell lymphoma,Human,miR-107,,HMGB1,
circ_0084927,Cervical cancer,Human,miR-142-3p,,ARL2,
Circ_ASAP2,Gastric cancer,Human,miR-33a-5p,,CDK7,
CircNRIP1,Ovarian cancer,Human,miR-211-5p,,HOXC8,
Circ_0006528,Breast cancer,Human,miR-1299,,CDK8,
hsa_circ_0004018,Hepatocellular carcinoma,Human,miR-626,,DKK3,
cir-ITCH,Gastric cancer,Human,miR-17,,,
circ-MYBL2,Multiple myeloma,Human,,,,Cyclin F
